,index,Season,Opponent,Team,VisitingTeam,Conc,OppWin,OppLSWin,ColtsWin,ColtsLSWin,RoadAttendance,FacebookFans,Distance,Home Opener,Temp at Kick,Rain/Snow,Colts Out of Contention,LastVisitYears,OppScoredLY,OppDefGivenLY,OppPlayoff(Prev Bin),Top25Jersey(Ordinal),OffMVP(Interval),DefMVP(Interval),OddsFeb,Division,GAindyL10
34,33,2016,San Diego,Chargers,San Diego Chargers,2016San Diego Chargers,0.5,0.25,0,0.5,94.6,1577718,2052,0,82,0,0,6,320,398,0,0,0,0,5000,0,5
35,34,2016,Chicago,Bears,Chicago Bears,2016Chicago Bears,0.25,0.375,0.25,0.5,97.6,4056931,182,0,60,0,0,8,335,397,0,0,0,0,4000,0,28
36,35,2016,Kansas City,Chiefs,Kansas City Chiefs,2016Kansas City Chiefs,0.667,0.688,0.429,0.5,97.7,1561629,482,0,70,0,0,6,405,287,1,0,0,0,2000,0,7
37,36,2016,Tennessee,Titans,Tennessee Titans,2016Tennessee Titans,0.5,0.188,0.444,0.5,96.9,942098,289,0,37,0,0,1,299,423,0,1,0,0,5000,1,5
38,37,2016,Pittsburgh,Steelers,Pittsburgh Steelers,2016Pittsburgh Steelers,0.5,0.625,0.5,0.5,96,6497999,359,0,43,0,0,5,423,319,1,1,0,0,800,0,18
39,38,2016,Houston,Texans,Houston Texans,2016Houston Texans,0.5,0.563,0.5,0.5,95.7,2205376,1014,0,34,1,0,1,339,313,1,0,0,37,4000,1,7
40,39,2016,Jacksonville,Jaguars,Jacksonville Jaguars,2016Jacksonville Jaguars,0.2,0.313,0.467,0.5,96.1,625830,878,0,45,0,1,1,376,448,0,0,0,0,5000,1,5
41,40,2017,Arizona,Cardinals,Arizona Cardinals,2017Arizona Cardinals,0,0.438,0,0.5,98.3,1484828,1699,1,88,0,0,11,418,362,0,0,0,0,2500,0,3
42,41,2017,Cleveland,Browns,Cleveland Browns,2017Cleveland Browns,0,0.063,0,0.5,93.3,1256162,317,0,90,0,0,5,264,452,0,0,0,0,30000,0,12
43,42,2017,San Francisco,49ers,San Francisco 49ers,2017San Francisco 49ers,0,0.125,0.25,0.5,99.7,4151690,2275,0,68,0,0,8,309,480,0,0,0,0,30000,0,8
44,43,2017,Jacksonville,Jaguars,Jacksonville Jaguars,2017Jacksonville Jaguars,0.5,0.188,0.333,0.5,93.5,625830,878,0,79,0,0,1,318,400,0,0,0,0,8000,1,5
45,44,2017,Pittsburgh,Steelers,Pittsburgh Steelers,2017Pittsburgh Steelers,0.75,0.688,0.333,0.5,96.6,6497999,359,0,41,1,0,1,399,327,1,3,8,0,1000,0,18
46,45,2017,Tennessee,Titans,Tennessee Titans,2017Tennessee Titans,0.6,0.563,0.3,0.5,92.3,942098,289,0,50,0,0,1,381,378,0,0,0,0,4000,1,5
47,46,2017,Denver,Broncos,Denver Broncos,2017Denver Broncos,0.308,0.563,0.231,0.5,94.2,4368268,1085,0,28,0,1,2,333,297,0,1,0,17,2000,0,7
48,47,2017,Houston,Texans,Houston Texans,2017Houston Texans,0.267,0.563,0.2,0.5,98.1,2205376,1014,0,10,0,1,1,279,328,1,1,0,0,6000,1,7
49,48,2018,Cincinnati,Bengals,Cincinnati Bengals,2018Cincinnati Bengals,0,0.438,0,0.25,96.7,1178447,112,1,61,1,0,4,290,349,0,0,0,0,10000,0,11
50,49,2018,Houston,Texans,Houston Texans,2018Houston Texans,0,0.25,0.333,0.25,90,2205376,1014,0,79,0,0,1,338,436,0,1,0,0,2000,1,7
51,50,2018,Buffalo,Bills,Buffalo Bills,2018Buffalo Bills,0.333,0.563,0.167,0.25,100.5,892337,500,0,50,0,0,6,302,359,1,0,0,0,10000,0,5
52,51,2018,Jacksonville,Jaguars,Jacksonville Jaguars,2018Jacksonville Jaguars,0.375,0.625,0.375,0.25,95.4,625830,878,0,45,0,0,1,417,268,1,0,0,0,2000,1,5
53,52,2018,Tennessee,Titans,Tennessee Titans,2018Tennessee Titans,0.556,0.563,0.444,0.25,95,942098,289,0,43,0,0,1,334,356,0,0,0,0,4000,1,5
54,53,2018,Miami,Dolphins,Miami Dolphins,2018Miami Dolphins,0.5,0.375,0.5,0.25,98.5,2277308,1195,0,55,0,0,5,281,393,0,0,0,0,6000,0,7
55,54,2018,Dallas,Cowboys,Dallas Cowboys,2018Dallas Cowboys,0.615,0.563,0.538,0.25,97,8646548,900,0,52,0,0,8,354,332,0,5,0,0,1800,0,18
56,55,2018,New York,Giants,New York Giants,2018New York Giants,0.357,0.188,0.571,0.25,95.3,3903016,713,0,37,0,0,8,246,388,0,1,0,0,6000,0,7
57,56,2019,Atlanta,Falcons,Atlanta Falcons,2019Atlanta Falcons,0.5,0.438,0.5,0.625,92.2,2021749,533,1,88,0,0,8,414,423,0,1,0,0,3000,0,5
58,57,2019,Carolina,Panthers,Carolina Panthers,2019Carolina Panthers,0.357,0.438,0.429,0.625,90.6,2350018,575,0,52,0,1,8,376,382,0,1,0,0,4000,0,6
59,58,2019,Denver,Broncos,Denver Broncos,2019Denver Broncos,0.286,0.375,0.667,0.625,93.9,4368268,1085,0,63,0,0,2,329,349,0,1,0,0,8000,0,7
60,59,2019,Houston,Texans,Houston Texans,2019Houston Texans,0.667,0.688,0.6,0.625,93.4,2205376,1014,0,72,0,0,1,402,316,1,2,0,0,3000,1,7
61,60,2019,Jacksonville,Jaguars,Jacksonville Jaguars,2019Jacksonville Jaguars,0.444,0.313,0.556,0.625,92.9,625830,878,0,45,0,0,1,245,316,0,0,0,17,3000,1,5
62,61,2019,Miami,Dolphins,Miami Dolphins,2019Miami Dolphins,0.125,0.438,0.625,0.625,94.5,2277308,1195,0,57,0,0,1,319,433,0,0,0,0,30000,0,7
63,62,2019,Oakland,Raiders,Oakland Raiders,2019Oakland Raiders,0.333,0.25,0.667,0.625,95.6,3399562,2266,0,82,0,0,6,290,467,0,0,0,0,10000,0,8
64,63,2019,Tennessee,Titans,Tennessee Titans,2019Tennessee Titans,0.545,0.563,0.5,0.625,94.2,942098,289,0,36,1,0,1,310,303,0,0,0,0,6000,1,5
65,64,2020,Tennessee,Titans,Tennessee Titans,2020Tennessee Titans,NA,0.563,NA,0.438,96.4,948227,289,0,NA,NA,NA,1,402,331,1,0,NA,NA,NA,1,5
66,65,2020,Houston,Texans,Houston Texans,2020Houston Texans,NA,0.625,NA,0.438,93.6,2179874,1014,0,NA,NA,NA,1,378,385,1,2,NA,NA,NA,1,7
67,66,2020,Jacksonville,Jaguars,Jacksonville Jaguars,2020Jacksonville Jaguars,NA,0.375,NA,0.438,92.6,634114,878,0,NA,NA,NA,1,300,397,0,0,NA,NA,NA,1,5
68,67,2020,Green Bay,Packers,Green Bay Packers,2020Green Bay Packers,NA,0.813,NA,0.438,97.2,5300984,398,0,NA,NA,NA,8,376,313,1,1,NA,NA,NA,0,22
69,68,2020,Minnesota,Vikings,Minnesota Vikings,2020Minnesota Vikings,NA,0.625,NA,0.438,95.2,2160261,594,0,NA,NA,NA,8,407,303,1,1,NA,NA,NA,0,6
70,69,2020,Baltimore,Ravens,Baltimore Ravens,2020Baltimore Ravens,NA,0.875,NA,0.438,94,2291981,578,0,NA,NA,NA,6,531,282,1,1,NA,NA,NA,0,7
71,70,2020,New York,Jets,New York Jets,2020New York Jets,NA,0.438,NA,0.438,87.5,1868393,713,0,NA,NA,NA,5,276,359,0,1,NA,NA,NA,0,5
72,71,2020,Cincinnati,Bengals,Cincinnati Bengals,2020Cincinnati Bengals,NA,0.125,NA,0.438,95.4,1144921,112,0,NA,NA,NA,2,279,420,0,0,NA,NA,NA,0,11
